Line Number	Verse Reference	Word	Matched Variation	Verse Match?	Area Match?	Full Line
30988	ΙΟΥΔΙΘ 2:21	Βαικτιλαὶθ	βεκτιλεθ	Yes	No	\vs{21}Καὶ ἀπῆλθον ἐκ Νινευὴ ὁδὸν τριῶν ἡμερῶν ἐπὶ πρόσωπον τοῦ πεδίου Βαικτιλαὶθ, καὶ ἐπεστρατοπέδευσεν ἀπὸ Βαικτιλαὶθ πλησίον τοῦ ὄρους τοῦ ἐπʼ ἀριστερᾷ τῆς ἄνω Κιλικίας.
30990	ΙΟΥΔΙΘ 2:23	Χελλαίων	χελεων	Yes	No	\vs{23}Καὶ διέκοψε τὸ Φοὺδ καὶ Λοὺδ, καὶ ἐπρονόμευσαν πάντας υἱοὺς Ῥασσὶς, καὶ υἱοὺς Ἰσμαὴλ τοὺς κατὰ πρόσωπον τῆς ἐρήμου πρὸς Νότον τῆς Χελλαίων.
31020	ΙΟΥΔΙΘ 4:4	Βελμὲν	βαιλμάιν	Yes	No	\vs{4}καὶ ἀπέστειλαν εἰς πᾶν ὅριον Σαμαρείας, καὶ Κωνὰς, καὶ Βαιθωρὼν, καὶ Βελμὲν, καὶ Ἱεριχὼ, καὶ εἰς Χωβὰ, καὶ Αἰσωρὰ, καὶ τὸν αὐλῶνα Σαλὴμ,
31023	ΙΟΥΔΙΘ 4:6	Βετομεσθαὶμ	βαιτομαισθάιμ	Yes	No	\vs{6}Καὶ ἔγραψεν Ἰωακὶμ ὁ ἱερεὺς ὁ μέγας, ὃς ἦν ἐν ταῖς ἡμέραις ἐκείναις ἐν Ἱερουσαλὴμ, τοῖς κατοικοῦσι Βετυλούα, καὶ Βετομεσθαὶμ, ἥ ἐστιν ἀπέναντι Ἐσδρηλὼν, κατὰ πρόσωπον τοῦ πεδίου τοῦ πλησίον Δωθαῒμ,
31027	ΙΟΥΔΙΘ 4:9	ἐκτενίᾳ	ἐκτενείᾳ	Yes	No	\vs{9}Καὶ ἀνεβόησαν πᾶς ἀνὴρ Ἰσραὴλ πρὸς τὸν Θεὸν ἐν ἐκτενίᾳ μεγάλῃ, καὶ ἐταπεινοῦσαν τὰς ψυχὰς αὐτῶν ἐν ἐκτενίᾳ μεγάλῃ,
31027	ΙΟΥΔΙΘ 4:9	ἐκτενίᾳ	ἐκτενείᾳ	Yes	No	\vs{9}Καὶ ἀνεβόησαν πᾶς ἀνὴρ Ἰσραὴλ πρὸς τὸν Θεὸν ἐν ἐκτενίᾳ μεγάλῃ, καὶ ἐταπεινοῦσαν τὰς ψυχὰς αὐτῶν ἐν ἐκτενίᾳ μεγάλῃ,
31039	ΙΟΥΔΙΘ 5:1	ἀνηγγέλλη	ἀνηγγέλη	Yes	No	Καὶ ἀνηγγέλλη Ὀλοφέρνῃ ἀρχιστρατήγῳ δυνάμεως Ἀσσοὺρ, διότι οἱ υἱοὶ Ἰσραὴλ παρεσκευάσαντο εἰς πόλεμον, καὶ τὰς διόδους τῆς ὀρεινῆς συνέκλεισαν, καὶ ἐτείχισαν πᾶσαν κορυφὴν ὄρους ὑψηλοῦ, καὶ ἔθηκαν ἐν τοῖς πεδίοις σκάνδαλα.
31096	ΙΟΥΔΙΘ 6:19	ὑπερηφανείας	ὑπερηφανίας	Yes	No	\vs{19}κύριε ὁ Θεὸς τοῦ οὐρανοῦ, κάτιδε ἐπὶ τὰς ὑπερηφανείας αὐτῶν, καὶ ἐλέησον τὴν ταπείνωσιν τοῦ γένους ἡμῶν, καὶ ἐπίβλεψον ἐπὶ τὸ πρόσωπον τῶν ἡγιασμένων σοι ἐν τῇ ἡμέρᾳ ταύτῃ.
31127	ΙΟΥΔΙΘ 7:20	τριακοντατέσσαρας	τριάκοντα τέσσαρας	Yes	No	\vs{20}Καὶ ἔμεινε κύκλῳ αὐτῶν πᾶσα παρεμβολὴ Ἀσσοὺρ, οἱ πεζοὶ καὶ τὰ ἅρματα καὶ οἱ ἱππεῖς αὐτῶν, ἡμέρας τριακοντατέσσαρας· καὶ ἐξέλιπε πάντας τοὺς κατοικοῦντας Βετυλούα πάντα τὰ ἀγγεῖα αὐτῶν τῶν ὑδάτων.
31243	ΙΟΥΔΙΘ 10:21	κωνωπείῳ	κωνωπίῳ	Yes	No	\vs{21}Καὶ ἦν Ὀλοφέρνης ἀναπαυόμενος ἐπὶ τῆς κλίνης αὐτοῦ ἐν τῷ κωνωπείῳ, ὃ ἦν ἐκ πορφύρας καὶ χρυσίου καὶ σμαράγδου καὶ λίθων πολυτελῶν καθυφασμένων.
31284	ΙΟΥΔΙΘ 12:4	δαπανήσι	δαπανήσει	Yes	No	\vs{4}Καὶ εἶπεν Ἰουδὶθ πρὸς αὐτὸν, ζῇ ἡ ψυχη σου, κύριέ μου, ὅτι οὐ δαπανήσι ἡ δούλη σου τὰ ὄντα μετʼ ἐμοῦ, ἕως ἂν ποιήσῃ Κὺριος ἐν χειρί μου ἃ ἐβουλεύσατο.
31323	ΙΟΥΔΙΘ 13:9	κωνωπεῖον	κωνώπιον	Yes	No	\vs{9}καὶ ἀπεκύλισε τὸ σῶμα αὐτοῦ ἀπὸ τῆς στρωμνῆς, καὶ ἀφεῖλε τὸ κωνωπεῖον ἀπὸ τῶν στύλων· καὶ μετʼ ὀλίγον ἐξῆλθε, καὶ παρέδωκε τῇ ἅβρᾳ αὐτῆς τὴν κεφαλὴν Ὀλοφέρνου.
31332	ΙΟΥΔΙΘ 13:15	κωνωπεῖον	κωνώπιον	Yes	No	\vs{15}Καὶ προελοῦσα τὴν κεφαλὴν ἐκ τῆς πήρας, ἔδειξε, καὶ εἶπεν αὐτοῖς, ἰδοὺ ἡ κεφαλὴ Ὀλοφέρνου ἀρχιστρατήγου δυνάμεως Ἀσσοὺρ, καὶ ἰδοὺ τὸ κωνωπεῖον ἐν ᾧ κατέκειτο ἐν ταῖς μέθαις αὐτοῦ, καὶ ἐπάταξεν αὐτὸν ὁ Κύριος ἐν χειρὶ θηλείας.
31419	ΙΟΥΔΙΘ 16:19	κωνωπεῖον	κωνώπιον	Yes	No	\vs{19}Καὶ ἀνέθηκεν Ἰουδὶθ πάντα τὰ σκεύη Ὀλοφέρνου ὅσα ἔδωκεν ὁ λαὸς αὐτῇ, καὶ τὸ κωνωπεῖον ὃ ἔλαβεν αὕτς ἐκ τοῦ κοιτῶνος αὐτοῦ, εἰς ἀνάθημα τῷ Θεῷ ἔδωκε.
31459	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 2:2	ἐγεννήθημεν	ἐγενήθημεν	Yes	No	\vs{2}Ὅτι αὐτοσχεδίως ἐγεννήθημεν, καὶ μετὰ τοῦτο ἐσόμεθα ὡς οὐχ ὑπάρξαντες, ὅτι καπνὸς ἡ πνοὴ ἐν ῥισὶν ἡμῶν, καὶ ὁ λόγος σπινθὴρ ἐν κινήσει καρδίας ἡμῶν,
31577	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 6:2	γεγαυρομένοι	γεγαυρωμένοι	Yes	No	\vs{2}Ἐνωτίσασθε οἱ κρατοῦντες πλήθους, καὶ γεγαυρομένοι ἐπὶ ὄχλοις ἐθνῶν.
31653	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 8:6	τεχνίτης	τεχνῖτις	Yes	No	\vs{6}Εἰ δὲ φρόνησις ἐργάζεται, τίς αὐτῆς τῶν ὄντων μᾶλλόν ἐστι τεχνίτης;
31732	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 11:6	ἀεννάου	ἀενάου	Yes	No	\vs{6}Ἀντὶ μὲν πηγῆς ἀεννάου ποταμοῦ αἵματι λυθρώδει ταραχθέντες
31767	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 12:8	καταβραχὺ	κατὰ βραχὺ	Yes	No	\vs{8}Ἀλλὰ καὶ τούτων ὡς ἀνθρώπων ἐφείσω, ἀπέστειλάς τε προδρόμους τοῦ στρατοπέδου σου σφῆκας, ἵνα αὐτοὺς καταβραχὺ ἐξολοθρεύσωσιν.
31769	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 12:10	καταβραχὺ	κατὰ βραχὺ	Yes	No	\vs{10}κρίνων δὲ καταβραχὺ ἐδίδους τόπον μετανοίας, οὐκ ἀγνοῶν, ὅτι πονηρὰ ἡ γένεσις αὐτῶν, καὶ ἔμφυτος ἡ κακία αὐτῶν, καὶ ὅτι οὐ μὴ ἀλλαγῇ ὁ λογισμὸς αὐτῶν εἰς τὸν αἰῶνα·
31783	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 12:22	προσδοκῶμει	προσδοκῶμεν	Yes	No	\vs{22}Ἡμᾶς οὖν παιδεύων, τοὺς ἐχθροὺς ἡμῶν ἐν μυριότητι μαστιγοῖς, ἵνα σου τὴν ἀγαθότητα μεριμνῶμεν κρίνοντες, κρινόμενοι δὲ προσδοκῶμει ἔλεος.
31792	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 13:1	ὁρομένων	ὁρωμένων	Yes	No	Μάταιοι μὲν γὰρ πάντες ἄνθρωποι φύσει, οἷς παρῆν Θεοῦ ἀγνωσία, καὶ ἐκ τῶν ὁρομένων ἀγαθῶν οὐκ ἴσχυσαν εἰδέναι τὸν ὄντα, οὔτε τοῖς ἔργοις προσχόντες ἐπέγνωσαν τὸν τεχνίτην.
31817	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 14:2	τεχνίτης	τεχνῖτις	Yes	No	\vs{2}Ἐκεῖνο μὲν γὰρ ὄρεξις πορισμῶν ἐπενόησε, τεχνίτης δὲ σοφίᾳ κατεσκεύασεν·
31825	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 14:8	εἰργάζετο	ἠργάζετο	Yes	No	\vs{8}Τὸ χειροποίητον δέ ἐπικατάρατον αὐτὸ, καὶ ὁ ποιήσας αὐτὸ, ὅτι ὁ μὲν εἰργάζετο, τὸ δὲ φθαρτὸν θεὸς ὠνομάσθη.
31863	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 15:8	γεννηθεὶς	γενηθεὶς	Yes	No	\vs{8}Καὶ κακόμοχθος θεὸν μάταιον ἐκ τοῦ αὐτοῦ πλάσσει πηλοῦ, ὃς πρὸ μικροῦ ἐκ γῆς γεννηθεὶς μετʼ ὀλίγον πορεύεται ἐξ ἧς ἐλήφθη, τὸ τῆς ψυχῆς ἀπαιτηθεὶς χρέος.
31868	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 15:12	πανεγυρισμὸν	πανηγυρισμὸν	Yes	No	\vs{12}Ἀλλʼ ἐλογίσαντο παίγνιον εἶναι τὴν ζωὴν ἡμῶν, καὶ τὸν βίον πανεγυρισμὸν ἐπικερδῆ· δεῖν γάρ φησιν ὅθεν δὴ κᾂν ἐκ κακοῦ πορίζειν.
31879	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 16:1	κνωδάλον	κνωδάλων	Yes	No	Διὰ τοῦτο διʼ ὁμοίων ἐκολάσθησαν ἀξίως, καὶ διὰ πλήθους κνωδάλον ἐβασανίσθησαν.
31935	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 17:16	δήποτ	δή ποτ	Yes	No	\vs{16}Εἶθʼ οὕτως, ὃς δήποτʼ οὖν ἦν ἐκεῖ καταπίπτων, ἐφρουρεῖτο εἰς τὴν ἀσίδηρον εἱρκτὴν κατακλεισθείς.
31960	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 18:13	φαρμακίας	φαρμακείας	Yes	No	\vs{13}Πάντα γὰρ ἀπιστοῦντες διὰ τὰς φαρμακίας, ἐπὶ τῷ τῶν πρωτοτόκων ὀλέθρῳ, ὡμολόγησαν Θεοῦ υἱὸν λαὸν εἶναι.
31980	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 19:4	προαναπληρώσωσιν	προσαναπληρώσωσιν	Yes	No	\vs{4}Εἷλκε γὰρ αὐτοὺς ἡ ἀξία ἐπὶ τοῦτο τὸ πέρας ἀνάγκη, καὶ τῶν συμβεβηκότων ἀμνηστίαν ἐνέβαλεν, ἵνα τὴν λείπουσαν ταῖς βασάνοις προαναπληρώσωσιν κόλασιν·
31985	ΣΟΦΙΑ ΣΑΛΩΜΩΝ 19:8	πανεθνὶ	πανεθνεὶ	Yes	No	\vs{8}διʼ οὗ πανεθνὶ διῆλθον οἱ τῇ σῇ σκεπαζόμενοι χειρί, θεωρήσαντες θαυμαστὰ τέρατα.
32364	ΣΟΦΙΑ ΣΕΙΡΑΧ 11:19	φάγωμαι	φάγομαι	Yes	No	\vs{19}Ἐν τῷ εἰπεῖν αὐτὸν, εὗρον ἀνάπαυσιν, καὶ νῦν φάγωμαι ἐκ τῶν ἀγαθῶν μου, καὶ οὐκ οἶδε τίς καιρὸς παρελεύσεται, καὶ καταλείψει αὐτὰ ἑτέροις, καὶ ἀποθανεῖται.
32374	ΣΟΦΙΑ ΣΕΙΡΑΧ 11:28	αὐτῶυ	αὐτοῦ	Yes	No	\vs{28}Πρὸ τελευτῆς μὴ μακάριζε μηδένα, καὶ ἐν τέκνοις αὐτῶυ γνωσθήσεται ἀνήρ.
32385	ΣΟΦΙΑ ΣΕΙΡΑΧ 12:2	Εὐποίησον	εὖ ποίησον	Yes	No	\vs{2}Εὐποίησον εὐσεβεῖ, καὶ εὑρήσεις ἀνταπόδομα, καὶ εἰ μὴ παρʼ αὐτοῦ, ἀλλὰ παρὰ ὑψίστου.
32388	ΣΟΦΙΑ ΣΕΙΡΑΧ 12:5	Εὐποίησον	εὖ ποίησον	Yes	No	\vs{5}Εὐποίησον τῷ ταπεινῷ, καὶ μὴ δῷς ἀσεβεῖ· ἐμπόδισον τοὺς ἄρτους αὐτοῦ, καὶ μὴ δῷς αὐτῷ ἵνα μὴ ἐν αὐτοῖς σε δυναστεύσῃ· διπλάσια γὰρ κακὰ εὑρήσεις ἐν πᾶσιν ἀγαθοῖς οἷς ἂν ποιήσῃς αὐτῷ.
32418	ΣΟΦΙΑ ΣΕΙΡΑΧ 13:11	εἰσηγορεῖσθαι	ἰσηγορεῖσθαι	Yes	No	\vs{11}Μὴ ἔπεχε εἰσηγορεῖσθαι μετʼ αὐτοῦ, καὶ μὴ πίστευε τοῖς πλείοσι λόγοις αὐτοῦ· ἐκ πολλῆς γὰρ λαλιᾶς πειράσει σε, καὶ ὡς προσγελῶν ἐξετάσει.
32445	ΣΟΦΙΑ ΣΕΙΡΑΧ 14:7	εὐποιῇ	εὖ ποιῇ	Yes	No	\vs{7}κᾂν εὐποιῇ, ἐν λήθῃ ποιεῖ, καὶ ἐπʼ ἐσχάτων ἐκφαίνει τὴν κακίαν αὐτοῦ.
32450	ΣΟΦΙΑ ΣΕΙΡΑΧ 14:11	εὐποίει	εὖ ποίει	Yes	No	\vs{11}Τέκνον, καθὼς ἐὰν ἔχεις εὐποίει σεαυτόν, καὶ προσφορὰς Κυρίῳ ἀξίως πρόσαγε.
32452	ΣΟΦΙΑ ΣΕΙΡΑΧ 14:13	εὐποίει	εὖ ποίει	Yes	No	\vs{13}Πρίν σε τελευτῆσαι εὐποίει φίλῳ, καὶ κατὰ τὴν ἰσχύν σου ἔκτεινον καὶ δὸς αὐτῷ.
32631	ΣΟΦΙΑ ΣΕΙΡΑΧ 19:27	Συγκύφων	συνκύφων	Yes	No	\vs{27}Συγκύφων πρόσωπον καὶ ἑτεροκωφῶν, ὅπου οὐκ ἐπεγνώσθη, προφθάσει σε.
32671	ΣΟΦΙΑ ΣΕΙΡΑΧ 20:28	θημωνίαν	θιμωνιὰν	Yes	No	\vs{28}Ὁ ἐργαζόμενος γῆν ἀνυψώσει θημωνίαν αὐτοῦ, καὶ ὁ ἀρέσκων μεγιστᾶσιν ἐξιλάσεται ἀδικίαν.
32732	ΣΟΦΙΑ ΣΕΙΡΑΧ 22:21	ἀπελπίσῃς	ἀφελπίσῃς	Yes	No	\vs{21}Ἐπὶ φίλον ἐὰν σπάσῃς ῥομφαίαν, μὴ ἀπελπίσῃς, ἔστι γὰρ ἐπάνοδος.
32819	ΣΟΦΙΑ ΣΕΙΡΑΧ 25:1	συπεριφερόμενοι	συμπεριφερόμενοι	Yes	No	Ἐν τρισὶν ὡραΐσθην, καὶ ἀνέστην ὡραία ἔναντι Κυρίου καὶ ἀνθρώπων· ὁμόνοια ἀδελφῶν, καὶ φιλία τῶν πλησίον, καὶ γυνὴ καὶ ἀνὴρ ἑαυτοῖς συπεριφερόμενοι.
32823	ΣΟΦΙΑ ΣΕΙΡΑΧ 25:3	συναγήοχας	συναγείοχας	Yes	No	\vs{3}Ἐν νεότητι οὐ συναγήοχας, καὶ πῶς ἂν εὕροις ἐν τῷ γήρᾳ σου;
32849	ΣΟΦΙΑ ΣΕΙΡΑΧ 25:25	πωνηρᾷ	πονηρᾷ	Yes	No	\vs{25}Μὴ δῷς ὕδατι διέξοδον, μηδὲ γυναικὶ πωνηρᾷ ἐξουσίαν.
32900	ΣΟΦΙΑ ΣΕΙΡΑΧ 27:21	ἀπήλπισε	ἀφήλπισεν	Yes	No	\vs{21}Ὅτι θραῦσμά ἐστι καταδῆσαι, καὶ λοιδορίας ἐστὶ διαλλαγή· ὁ δὲ ἀποκαλύψας μυστήρια ἀπήλπισε.
32922	ΣΟΦΙΑ ΣΕΙΡΑΧ 28:9	ἐμβάλλει	ἐμβαλεῖ	Yes	No	\vs{9}Καὶ ἀνὴρ ἁμαρτωλὸς ταράξει φίλους, καὶ ἀναμέσον εἰρηνευόντων ἐμβάλλει διαβολήν.
33077	ΣΟΦΙΑ ΣΕΙΡΑΧ 32:10	καθεύρεμα	καθ εὕρεμα	No	Yes	\vs{10}Δὸς ὑψίστῳ κατὰ τὴν δόσιν αὐτοῦ, καὶ ἐν ἀγαθῷ ὀφθαλμῷ καθεύρεμα χειρός.
33448	ΣΟΦΙΑ ΣΕΙΡΑΧ 43:12	ἐτάννυσαν	ἐτάνυσαν	Yes	No	\vs{12}Ἐγύρωσεν οὐρανὸν ἐν κυκλώσει δόξης, χεῖρες ὑψίστου ἐτάννυσαν αὐτό.
33521	ΣΟΦΙΑ ΣΕΙΡΑΧ 45:14	καθημέραν	καθ ἡμέραν	Yes	No	\vs{14}Θυσίαι αὐτοῦ ὁλοκαρπωθήσονται καθημέραν ἐνδελεχῶς δίς.
33691	ΣΟΦΙΑ ΣΕΙΡΑΧ 51:3	ἑτοίμων	ἕτοιμον	Yes	No	\vs{3}καὶ ἐλυτρώσω με, κατὰ τὸ πλῆθος ἐλέους καὶ ὀνόματός σου, ἐκ βρυγμῶν ἑτοίμων εἰς βρῶμα, ἐκ χειρὸς ζητούντων τὴν ψυχήν μου, ἐκ πλειόνων θλίψεων ὧν ἔσχον,
33921	ΒΑΡΟΥΧ 5:7	ἀεννάους	ἀενάους	Yes	No	\vs{7}Συνέταξε γὰρ ὁ Θεὸς ταπεινοῦσθαι πᾶν ὄρος ὑψηλὸν, καὶ θῖνας ἀεννάους, καὶ φάραγγας πληροῦσθαι εἰς ὁμαλισμὸν τῆς γῆς, ἵνα βαδίσῃ Ἰσραὴλ ἀσφαλῶς τῇ τοῦ Θεοῦ δόξῃ.
34142	ΒΗΛ ΚΑΙ ΔΡΑΚΩΝ 1:14	κατέσεισαν	κατέσησαν	Yes	No	\vs{14}Καὶ ἐγένετο ὡς ἐξήλθοσαν ἐκεῖνοι, καὶ ὁ βασιλεὺς παρέθηκε τὰ βρώματα τῷ Βήλ· καὶ ἐπέταξε Δανιὴλ τοῖς παιδαρίοις αὐτοῦ, καὶ ἤνεγκαν τέφραν· καὶ κατέσεισαν ὅλον τὸν ναὸν ἐνώπιον τοῦ βασιλέως μόνου· καὶ ἐξελθόντες ἔκλεισαν τὴν θύραν, καὶ ἐσφραγίσαντο ἐν τῷ δακτυλίῳ τοῦ βασιλέως, καὶ ἀπῆλθον.
34187	ΜΑΚΚΑΒΑΙΩΝ Α 1:1	Χεττειεὶμ	χεττιιμ	Yes	No	\lettrine[lines=2, loversize=0.2, nindent=0em, findent=.25em]{\textcolor{bookheadingcolor}{Κ}}{ΑΙ} ἐγένετο μετὰ τὸ πατάξαι Ἀλέξανδρον τὸν Φιλίππου τὸν Μακεδόνα, ὃς ἐξῆλθεν ἐκ τῆς γῆς Χεττειεὶμ, καὶ ἐπάταξε τὸν Δαρεῖον βασιλέα Περσῶν καὶ Μήδων, καὶ ἐβασίλευσεν ἀντʼ αὐτοῦ πρότερος ἐπὶ τὴν Ἑλλάδα.
34217	ΜΑΚΚΑΒΑΙΩΝ Α 1:24	ὑπερηφανείαν	ὑπερηφανίαν	Yes	No	\vs{24}Καὶ λαβὼν πάντα ἀπῆλθεν εἰς τὴν γῆν αὐτοῦ· καὶ ἐποίησε φονοκτονίαν, καὶ ἐλάλησεν ὑπερηφανείαν μεγάλην.
34245	ΜΑΚΚΑΒΑΙΩΝ Α 1:47	εἰδωλεῖα	εἰδώλια	Yes	No	\vs{47}οἰκοδομῆσαι βωμοὺς, καὶ τεμένη, καὶ εἰδωλεῖα, καὶ θύειν ὕεια, καὶ κτήνη κοινὰ,
34281	ΜΑΚΚΑΒΑΙΩΝ Α 2:11	ἐλευθήρας	ἐλευθέρας	Yes	No	\vs{11}Πᾶς ὁ κόσμος αὐτῆς ἀφῃρέθη, ἀντὶ ἐλευθήρας ἐγένετο εἰς δούλην.
34398	ΜΑΚΚΑΒΑΙΩΝ Α 3:30	δαψιλεῖ	δαψιλῇ	Yes	No	\vs{30}Καὶ εὐλαβήθη μὴ οὐκ ἔχῃ ὡς ἅπαξ καὶ δὶς εἰς τὰς δαπάνας καὶ τὰ δόματα ἃ ἐδίδου ἔμπροσθεν δαψιλεῖ χειρὶ, καὶ ἐπερίσσευσεν ὑπέρ τοὺς βασιλεῖς τοὺς ἔμπροσθεν.
34474	ΜΑΚΚΑΒΑΙΩΝ Α 4:27	γεγόνει	γέγονεν	Yes	No	\vs{27}Ὁ δὲ ἀκούσας συνεχύθη καὶ ἠθύμει, ὅτι οὐχ οἷα ἤθελε, τοιαῦτα γεγόνει τῷ Ἰσραὴλ, καὶ οὐχ οἷα ἐνετείλατο αὐτῷ ὁ βασιλεὺς, τοιαῦτα ἐξέβη.
34484	ΜΑΚΚΑΒΑΙΩΝ Α 4:34	συνέβαλον	συνέβαλλον	Yes	No	\vs{34}Καὶ συνέβαλον ἀλλήλοις, καὶ ἔπεσον ἐκ τῆς παρεμβολῆς Λυσίου εἰς πεντακισχιλίους ἄνδρας, καὶ ἔπεσον ἐξ ἐναντίας αὐτῶν.
34508	ΜΑΚΚΑΒΑΙΩΝ Α 4:52	ἐννάτου	ἐνάτου	Yes	No	\vs{52}Καὶ ὤρθρισαν τοπρωῒ τῇ πέμπτῃ καὶ εἰκάδι τοῦ μηνὸς τοῦ ἐννάτου· οὗτος ὁ μὴν Χασελεῦ τοῦ ὀγδόου καὶ τεσσαρακοστοῦ καὶ ἑκατοστοῦ ἔτους.
34632	ΜΑΚΚΑΒΑΙΩΝ Α 6:16	ἐννάτου	ἐνάτου	Yes	No	\vs{16}Καὶ ἀπέθανεν ἐκεῖ Ἀντίοχος ὁ βασιλεὺς ἔτους ἐννάτου καὶ τεσσαρακοστοῦ καὶ ἑκατοστοῦ.
34836	ΜΑΚΚΑΒΑΙΩΝ Α 9:26	ἐξεδίκει	ἐξεδίκα	Yes	No	\vs{26}Καὶ ἐξεζήτουν καὶ ἐξηρεύνων τοὺς φίλους Ἰούδα, καὶ ἦγον αὐτοὺς πρὸς Βακχίδην· καὶ ἐξεδίκει ἐν αὐτοῖς, καὶ ἐνέπαιζεν αὐτοῖς.
34933	ΜΑΚΚΑΒΑΙΩΝ Α 10:30	Σαμαρείτιδος	σαμαρίτιδος	Yes	No	\vs{30}καὶ ἀντὶ τοῦ τρίτου τῆς σπορᾶς, καὶ ἀντὶ τοῦ ἡμίσους τοῦ καρποῦ τοῦ ξυλίνου τοῦ ἐπιβάλλοντός μοι λαβεῖν ἀφίημι ἀπὸ τῆς σήμερον καὶ ἐπέκεινα τοῦ λαβεῖν ἀπὸ τῆς γῆς Ἰούδα, καὶ ἀπὸ τῶν τριῶν νομῶν τῶν προστιθεμένων αὐτῇ ἀπὸ τῆς Σαμαρείτιδος καὶ Γαλιλαίας, καὶ ἀπὸ τῆς σήμερον ἡμέρας καὶ εἰς τὸν αἰῶνα χρόνον.
35007	ΜΑΚΚΑΒΑΙΩΝ Α 10:83	εἰδωλεῖον	εἰδώλιον	Yes	No	\vs{83}Καὶ ἡ ἵππος ἐσκορπίσθη ἐν τῷ πεδίῳ, καὶ ἔφυγον εἰς Ἄζωτον, καὶ εἰσῆλθον εἰς Βηθδαγὼν τὸ εἰδωλεῖον αὐτῶν, τοῦ σωθῆναι
35023	ΜΑΚΚΑΒΑΙΩΝ Α 11:5	ψογῆσαι	ψογίσαι	Yes	No	\vs{5}Καὶ διηγήσαντο τῷ βασιλεῖ ἃ ἐποίησεν Ἰωνάθαν, εἰς τὸ ψογῆσαι αὐτόν· καὶ ἐσίγησεν ὁ βασιλεύς.
35031	ΜΑΚΚΑΒΑΙΩΝ Α 11:11	ἐψόγησεν	ἐψόγισεν	Yes	No	\vs{11}Καὶ ἐψόγησεν αὐτὸν χάριν τοῦ ἐπιθυμῆσαι αὐτὸν τῆς βασιλείας αὐτοῦ·
35056	ΜΑΚΚΑΒΑΙΩΝ Α 11:28	Σαμαρεῖτιν	σαμαρῖτιν	Yes	No	\vs{28}Καὶ ἠξίωσεν Ἰωνάθαν τὸν βασιλέα ποιῆσαι τὴν Ἰουδαίαν ἀφορολόγητον, καὶ τὰς τρεῖς τοπαρχίας, καὶ τὴν Σαμαρεῖτιν, καὶ ἐπηγγείλατο αὐτῷ τάλαντα τριακόσια.
35064	ΜΑΚΚΑΒΑΙΩΝ Α 11:34	Σαμαρείτιδος	σαμαρίτιδος	Yes	No	\vs{34}Ἑστάκαμεν οὖν αὐτοῖς τὰ τε ὅρια τῆς Ἰουδαίας, καὶ τοὺς τρεῖς νομοὺς, Ἀφαίρεμα, καὶ Λύδδαν, καὶ Ῥαμαθὲμ, αἵτινες προσετέθησαν τῇ Ἰουδαίᾳ ἀπὸ τῆς Σαμαρείτιδος, καὶ πάντα τὰ συγκυροῦντα αὐτοῖς πᾶσι τοῖς θυσιάζουσιν εἰς Ἱεροσόλυμα, ἀντὶ τῶν βασιλικῶν ὧν ἐλάμβανεν ὁ βασιλεὺς παρʼ αὐτῶν τοπρότερον κατʼ ἐνιαυτὸν ἀπὸ τῶν γεννημάτων τῆς γῆς, καὶ ἀπὸ τῶν ἀκροδρύων.
35169	ΜΑΚΚΑΒΑΙΩΝ Α 12:33	πλησίων	πλησίον	Yes	No	\vs{33}Καὶ Σίμων ἐξῆλθε, καὶ διώδευσεν ἕως Ἀσκάλωνος, καὶ τῶν πλησίων ὀχυρωμάτων, καὶ ἐξέκλινεν εἰς Ἰόππην, καὶ προκατελάβετο αὐτήν.
35316	ΜΑΚΚΑΒΑΙΩΝ Α 14:32	ὡπλοδότησε	ὁπλοδότησεν	Yes	No	\vs{32}τότε ἀνέστη Σίμων, καὶ ἐπολέμησε περὶ τοῦ ἔθνους αὐτοῦ, καὶ ἐδαπάνησε χρήματα πολλὰ τῶν ἑαυτοῦ, καὶ ὡπλοδότησε τοὺς ἄνδρας τῆς δυνάμεως τοῦ ἔθνους αὐτοῦ, καὶ ἔδωκεν αὐτοῖς ὀψώνια,
