# Word Corrections TSV Format
# Columns (tab-separated): VERSE_REF	INCORRECT	CORRECT	NOTES (optional)
# VERSE_REF: "BOOK chapter:verse" (e.g., "ΓΕΝΕΣΙΣ 14:22") or "ALL" for global corrections
# Lines starting with # are comments

# Typo Checker Fixes (check_missing_words_for_typos.py)
ΒΑΣΙΛΕΙΩΝ Γ 2:35	Σαλωμὼς	Σαλωμὼν
ΒΑΣΙΛΕΙΩΝ Γ 5:25	εἴκος	εἴκοσι
ΒΑΣΙΛΕΙΩΝ Γ 6:1a	ἄρωσι	αἴρωσι
ΒΑΣΙΛΕΙΩΝ Γ 7:3	δσκτύλων	δακτύλων
ΒΑΣΙΛΕΙΩΝ Γ 7:39	στύχων	στίχων
ΒΑΣΙΛΕΙΩΝ Γ 11:18	ἄρχονται	ἔρχονται
ΒΑΣΙΛΕΙΩΝ Γ 12:24l	ἐξλεύσονταί	ἐξελεύσονταί	rahlf
ΒΑΣΙΛΕΙΩΝ Γ 16:16	ἔπαισν	ἔπαισε
ΒΑΣΙΛΕΙΩΝ Γ 18:20	ἐπισυνήγαγεπάντας	ἐπισυνήγαγε πάντας

ΒΑΣΙΛΕΙΩΝ Γ 19:8	ρώσεως	βρώσεως
ΒΑΣΙΛΕΙΩΝ Γ 19:11	Καὶλἰδοὺ	καὶ ἰδοὺ
ΒΑΣΙΛΕΙΩΝ Γ 20:4	κλίυης	κλίνης
ΒΑΣΙΛΕΙΩΝ Γ 22:8	δὀ	διʼ
ΒΑΣΙΛΕΙΩΝ Δ 1:6	εἶναιι	εἶναι
ΒΑΣΙΛΕΙΩΝ Δ 3:13	μητπός	μητρός
ΒΑΣΙΛΕΙΩΝ Δ 4:29	ὀσθύν	ὀσφύν
ΒΑΣΙΛΕΙΩΝ Δ 5:1	ὑτῶ	αὐτῷ
ΒΑΣΙΛΕΙΩΝ Δ 5:23	ἀρλυρίον	ἀργυρίου
ΒΑΣΙΛΕΙΩΝ Δ 7:1	λέλει	λέγει
ΒΑΣΙΛΕΙΩΝ Δ 7:13	κατελείφθησεν	κατελείφθησαν
ΒΑΣΙΛΕΙΩΝ Δ 7:16	σεμισάλεως	σεμιδάλεως
ΒΑΣΙΛΕΙΩΝ Δ 9:8	ἐξολθρεύσεις	ἐξολοθρεύσεις
ALL	Ἰσζράελ	Ἰεζράελ
ALL	θυλάτηρ	θυγάτηρ
ΒΑΣΙΛΕΙΩΝ Δ 10:20	ἐκήρυξν	ἐκήρυξαν
ΒΑΣΙΛΕΙΩΝ Δ 10:21	προθῆται	προφῆται
ΒΑΣΙΛΕΙΩΝ Δ 10:27	ἔπαξαν	ἔταξαν
ΒΑΣΙΛΕΙΩΝ Δ 11:6	φυλάξτε	φυλάξατε
ΒΑΣΙΛΕΙΩΝ Δ 12:10	ἀδρος	ἀνδρὸς
ΒΑΣΙΛΕΙΩΝ Δ 12:10	ἱεπεῖς	ἱερεῖς
ΒΑΣΙΛΕΙΩΝ Δ 12:11	ἔσθιγξαν	ἔσφιγξαν
ΒΑΣΙΛΕΙΩΝ Δ 13:17	τόζευσον	τόξευσον
ΒΑΣΙΛΕΙΩΝ Δ 13:17	ἐτόζευσε	ἐτόξευσε
ΒΑΣΙΛΕΙΩΝ Δ 15:19	Φονὰ	Φουὰ
ΒΑΣΙΛΕΙΩΝ Δ 17:18	ὑμελείφθη	ὑπελείφθη
